# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.242533666596e-10       8.204835471198e-09       3.961275892074e-10 
    3       1.193480169184e-10       5.158349093932e-09       2.855441533523e-10 
    4       1.141252091109e-10       3.603170672476e-09       2.182189267233e-10 
    5       1.100947255197e-10       2.692252359981e-09       1.735198174311e-10 
    6       1.072928472412e-10       2.102932389683e-09       1.418672602697e-10 
    7       1.055408923512e-10       1.695395584514e-09       1.184200790885e-10 
    8       1.046050882882e-10       1.400205040600e-09       1.005341981737e-10 
    9       1.042726757686e-10       1.178840534527e-09       8.659487965505e-11 
   10       1.044468538909e-10       1.007955792703e-09       7.549148243678e-11 
   11       1.049736552265e-10       8.539182618275e-10       6.678418283805e-11 
   12       1.057546131242e-10       7.466077261782e-10       5.914345254776e-11 
   13       1.067828408725e-10       6.584405791629e-10       5.292087186526e-11 
   14       1.079714758518e-10       5.850273908019e-10       4.753238006502e-11 
   15       1.093350144619e-10       5.231862990540e-10       4.297470183767e-11 
   16       1.107720833807e-10       4.705691131034e-10       3.901335978626e-11 
   17       1.122961952205e-10       4.254020947108e-10       3.553535348468e-11 
   18       1.139258893420e-10       3.861766887239e-10       3.251157494534e-11 
   19       1.156526669697e-10       3.522746824355e-10       2.989455762695e-11 
   20       1.174129478416e-10       3.224012233194e-10       2.755946101252e-11 
   21       1.192217446011e-10       2.960899719696e-10       2.546183842585e-11 
   22       1.210893667014e-10       2.727135599569e-10       2.355857959235e-11 
   23       1.230106336816e-10       2.519609213279e-10       2.187247802364e-11 
   24       1.249569568984e-10       2.333593293222e-10       2.041576117815e-11 
   25       1.269330212993e-10       2.166583481955e-10       1.912239510443e-11 
   26       1.289413457804e-10       2.015335157004e-10       1.789526895256e-11 
   27       1.309917710710e-10       1.879072383434e-10       1.673700481100e-11 
   28       1.330806394038e-10       1.756149908031e-10       1.567631772851e-11 
   29       1.351911379614e-10       1.643592098893e-10       1.473173014784e-11 
   30       1.373293358422e-10       1.540783629657e-10       1.389466102528e-11 
   31       1.394989957093e-10       1.446967223288e-10       1.313712376145e-11 
   32       1.416945885440e-10       1.360666060599e-10       1.242483998857e-11 
   33       1.439150508647e-10       1.281412840955e-10       1.175384712480e-11 
   34       1.461527683149e-10       1.208508014271e-10       1.112609482739e-11 
   35       1.483957648742e-10       1.140869668652e-10       1.054076130274e-11 
   36       1.506519826523e-10       1.078323708532e-10       9.998687632942e-12 
   37       1.529320309543e-10       1.020675654055e-10       9.498864961280e-12 
   38       1.552420098070e-10       9.673205713473e-11       9.036849482913e-12 
