# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.242537963930e-10       8.204835471198e-09       3.961275892074e-10 
    3       1.193488739620e-10       5.158349093932e-09       2.855441533523e-10 
    4       1.141266322020e-10       3.603170672476e-09       2.182189267233e-10 
    5       1.100968503572e-10       2.692252359981e-09       1.735198174311e-10 
    6       1.072958058853e-10       2.102932389683e-09       1.418672602697e-10 
    7       1.055448127216e-10       1.695395584514e-09       1.184200790885e-10 
    8       1.046100937713e-10       1.400205040600e-09       1.005341981737e-10 
    9       1.042788849417e-10       1.178840534527e-09       8.659487965505e-11 
   10       1.044543803665e-10       1.007955792703e-09       7.549148243678e-11 
   11       1.049826076159e-10       8.539182618275e-10       6.678418283805e-11 
   12       1.057650951156e-10       7.466077261782e-10       5.914345254776e-11 
   13       1.067949514143e-10       6.584405791629e-10       5.292087186526e-11 
   14       1.079853094293e-10       5.850273908019e-10       4.753238006502e-11 
   15       1.093506614513e-10       5.231862990540e-10       4.297470183767e-11 
   16       1.107896304631e-10       4.705691131034e-10       3.901335978626e-11 
   17       1.123157258361e-10       4.254020947108e-10       3.553535348468e-11 
   18       1.139474841744e-10       3.861766887239e-10       3.251157494534e-11 
   19       1.156764043824e-10       3.522746824355e-10       2.989455762695e-11 
   20       1.174389043976e-10       3.224012233194e-10       2.755946101252e-11 
   21       1.192499954089e-10       2.960899719696e-10       2.546183842585e-11 
   22       1.211199858514e-10       2.727135599569e-10       2.355857959235e-11 
   23       1.230436944522e-10       2.519609213279e-10       2.187247802364e-11 
   24       1.249925320694e-10       2.333593293222e-10       2.041576117815e-11 
   25       1.269711832270e-10       2.166583481955e-10       1.912239510443e-11 
   26       1.289821665365e-10       2.015335157004e-10       1.789526895256e-11 
   27       1.310353222006e-10       1.879072383434e-10       1.673700481100e-11 
   28       1.331269919366e-10       1.756149908031e-10       1.567631772851e-11 
   29       1.352403623939e-10       1.643592098893e-10       1.473173014784e-11 
   30       1.373815016487e-10       1.540783629657e-10       1.389466102528e-11 
   31       1.395541710985e-10       1.446967223288e-10       1.313712376145e-11 
   32       1.417528402426e-10       1.360666060599e-10       1.242483998857e-11 
   33       1.439764436723e-10       1.281412840955e-10       1.175384712480e-11 
   34       1.462173647490e-10       1.208508014271e-10       1.112609482739e-11 
   35       1.484636248865e-10       1.140869668652e-10       1.054076130274e-11 
   36       1.507231635027e-10       1.078323708532e-10       9.998687632942e-12 
   37       1.530065869296e-10       1.020675654055e-10       9.498864961280e-12 
   38       1.553199918605e-10       9.673205713473e-11       9.036849482913e-12 
   39       1.576653477402e-10       9.174614981479e-11       8.606392147536e-12 
   40       1.600432213162e-10       8.709464389478e-11       8.205778542795e-12 
   41       1.624500033412e-10       8.276533669158e-11       7.833112379977e-12 
   42       1.648765181473e-10       7.872404450571e-11       7.484379990688e-12 
   43       1.673121442171e-10       7.492725114438e-11       7.154841037913e-12 
   44       1.697599298298e-10       7.136914196352e-11       6.844131333098e-12 
   45       1.722253234675e-10       6.804612185827e-11       6.552457591343e-12 
   46       1.747117344958e-10       6.494269395465e-11       6.279098191852e-12 
   47       1.772203125418e-10       6.203053167549e-11       6.022328235732e-12 
   48       1.797509646074e-10       5.927720107444e-11       5.779996789716e-12 
   49       1.823062602296e-10       5.667740046212e-11       5.551625897017e-12 
   50       1.848882480848e-10       5.422893255312e-11       5.336774492826e-12 
