#scalar perturbations for mode k = 4.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_NEDE            17:theta_NEDE            18:shear_NEDE            19:delta_cdm             20:theta_cdm             21:delta_trigger         22:theta_hat_trigger  
       2.506324676801e-05       5.407510904696e-11      -3.350234954825e-13      -1.119580023168e-21       2.735191013916e-23       6.837977534790e-23       3.491533655550e-39       1.367595506958e-23      -2.512676216119e-13      -1.119580023168e-21       6.011244768721e-01       6.994447458150e-01      -3.350234954825e-13      -1.657981736990e-21       4.027787031116e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.512676216119e-13       0.000000000000e+00      -1.708435890690e-40      -1.215298492144e-44 
       2.512649234955e-05       5.421156430805e-11      -3.367177945488e-13      -1.128090654068e-21       2.755909155925e-23       6.889772889813e-23       3.535758060483e-39       1.377954577963e-23      -2.525383459116e-13      -1.128090654068e-21       6.011285027329e-01       6.994491536994e-01      -3.367177945488e-13      -1.670585097069e-21       4.048156156711e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.525383459116e-13       0.000000000000e+00      -1.734349101213e-40      -1.237003989530e-44 
       2.518973793108e-05       5.434801956918e-11      -3.384163373515e-13      -1.136644073078e-21       2.776732454869e-23       6.941831137172e-23       3.580430487283e-39       1.388366227434e-23      -2.538122530136e-13      -1.136644073078e-21       6.011324360845e-01       6.994534530970e-01      -3.384163373515e-13      -1.683251821294e-21       4.068576084472e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.538122530136e-13       0.000000000000e+00      -1.760585216837e-40      -1.259039616579e-44 
       2.546676860339e-05       5.494572603081e-11      -3.459030860285e-13      -1.174584047435e-21       2.869287617251e-23       7.173219043127e-23       3.781600795457e-39       1.434643808625e-23      -2.594273145214e-13      -1.174584047435e-21       6.011391917049e-01       6.994607412230e-01      -3.459030860285e-13      -1.739436969303e-21       4.158581148775e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.594273145214e-13       0.000000000000e+00      -1.879642770418e-40      -1.359383813055e-44 
       2.574379927571e-05       5.554343249307e-11      -3.534698766039e-13      -1.213340388698e-21       2.963933279191e-23       7.409833197977e-23       3.991789365022e-39       1.481966639595e-23      -2.651024074529e-13      -1.213340388698e-21       6.011406372020e-01       6.994621641916e-01      -3.534698766039e-13      -1.796831053585e-21       4.249547401507e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.651024074529e-13       0.000000000000e+00      -2.005450169389e-40      -1.466398581686e-44 
       2.602082994802e-05       5.614113895596e-11      -3.611179932600e-13      -1.252934343205e-21       3.060654583108e-23       7.651636457771e-23       4.211245123852e-39       1.530327291554e-23      -2.708384949450e-13      -1.252934343205e-21       6.011405469170e-01       6.994618983900e-01      -3.611179932600e-13      -1.855465534822e-21       4.341491056564e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.708384949450e-13       0.000000000000e+00      -2.138250458614e-40      -1.580517571648e-44 
       2.629786062033e-05       5.673884541947e-11      -3.688478896717e-13      -1.293379408020e-21       3.159460297094e-23       7.898650742736e-23       4.440252364886e-39       1.579730148547e-23      -2.766359172537e-13      -1.293379408020e-21       6.011402131009e-01       6.994613734246e-01      -3.688478896717e-13      -1.915360399688e-21       4.434417876328e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.766359172537e-13       0.000000000000e+00      -2.278325679653e-40      -1.702156499172e-44 
       2.712607288681e-05       5.852575161924e-11      -3.924455359786e-13      -1.419500276472e-21       3.467426956276e-23       8.668567390691e-23       5.184836725673e-39       1.733713478138e-23      -2.943341519839e-13      -1.419500276472e-21       6.011442919668e-01       6.994649006610e-01      -3.924455359786e-13      -2.102131926830e-21       4.718100544118e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.943341519839e-13       0.000000000000e+00      -2.740739226234e-40      -2.115846180040e-44 
       2.795428515329e-05       6.031265782463e-11      -4.167748721859e-13      -1.553565090309e-21       3.794781175747e-23       9.486952939366e-23       6.026115282893e-39       1.897390587873e-23      -3.125811541395e-13      -1.553565090309e-21       6.011483798156e-01       6.994683496481e-01      -4.167748721859e-13      -2.300667318014e-21       5.010571966697e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.125811541395e-13       0.000000000000e+00      -3.278571236606e-40      -2.612863987873e-44 
       2.878249741977e-05       6.209956403564e-11      -4.418359174360e-13      -1.695809547905e-21       4.142125707095e-23       1.035531426774e-22       6.973232431080e-39       2.071062853547e-23      -3.313769380770e-13      -1.695809547905e-21       6.011516470698e-01       6.994709194406e-01      -4.418359174360e-13      -2.511315523590e-21       5.311832740134e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.313769380770e-13       0.000000000000e+00      -3.901983739212e-40      -3.206509745560e-44 
       2.961070968626e-05       6.388647025227e-11      -4.676286625466e-13      -1.846476280701e-21       4.510052495099e-23       1.127513123775e-22       8.035874555429e-39       2.255026247550e-23      -3.507214969100e-13      -1.846476280701e-21       6.011542370521e-01       6.994727909357e-01      -4.676286625466e-13      -2.734435767854e-21       5.621884294303e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.507214969100e-13       0.000000000000e+00      -4.621695698065e-40      -3.911943282004e-44 
       2.999451818548e-05       6.471455481777e-11      -4.798295938000e-13      -1.919203726019e-21       4.687729047246e-23       1.171932261812e-22       8.570382419998e-39       2.343864523623e-23      -3.598721953500e-13      -1.919203726019e-21       6.011533413450e-01       6.994716264109e-01      -4.798295938000e-13      -2.842136684394e-21       5.768552692815e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.598721953500e-13       0.000000000000e+00      -4.993041786087e-40      -4.280659355039e-44 
       3.037832668470e-05       6.554263938448e-11      -4.921876595208e-13      -1.993817956713e-21       4.870008845121e-23       1.217502211280e-22       9.132956024309e-39       2.435004422561e-23      -3.691407446406e-13      -1.993817956713e-21       6.011526172054e-01       6.994706754486e-01      -4.921876595208e-13      -2.952631638949e-21       5.917111844583e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.691407446406e-13       0.000000000000e+00      -5.388962467937e-40      -4.678834123910e-44 
