# Matter power spectrum P(k) at redshift z=0
# for k=1.09407e-05 to 1.13086 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.094071754155e-05       3.725446765278e+01 
       2.447057873733e-05       8.218473000889e+01 
       3.805281904515e-05       1.268369435405e+02 
       5.172776674949e-05       1.715105295474e+02 
       6.553648439458e-05       2.164104211156e+02 
       7.952117258561e-05       2.617117835503e+02 
       9.372558795555e-05       3.075788634192e+02 
       1.081954813810e-04       3.541732596324e+02 
       1.229790625727e-04       4.016586416668e+02 
       1.381274971990e-04       4.502040330407e+02 
       1.536954426787e-04       4.999864540485e+02 
       1.697416286244e-04       5.511932944762e+02 
       1.863294875469e-04       6.040246020267e+02 
       2.035278406977e-04       6.586953613256e+02 
       2.214116426603e-04       7.154378439215e+02 
       2.400627862557e-04       7.745040392069e+02 
       2.595709661924e-04       8.361681844712e+02 
       2.800345952504e-04       9.007293503414e+02 
       3.015617601659e-04       9.685140640552e+02 
       3.242711951661e-04       1.039878878250e+03 
       3.482932386747e-04       1.115212753451e+03 
       3.737707224397e-04       1.194939096942e+03 
       4.008597217888e-04       1.279517218734e+03 
       4.297300708987e-04       1.369442862722e+03 
       4.605655186874e-04       1.465247443521e+03 
       4.935633714182e-04       1.567495500158e+03 
       5.289334415555e-04       1.676779787924e+03 
       5.668961057182e-04       1.793713479999e+03 
       6.076792775086e-04       1.918918890466e+03 
       6.515141356856e-04       2.053012349004e+03 
       6.986295269498e-04       2.196585110831e+03 
       7.492450940699e-04       2.350180657125e+03 
       8.035633628924e-04       2.514269261732e+03 
       8.617612384078e-04       2.689221481434e+03 
       9.239815729810e-04       2.875282743487e+03 
       9.903256247675e-04       3.072551692998e+03 
       1.060847263144e-03       3.280964969776e+03 
       1.135549660121e-03       3.500290626859e+03 
       1.214384930833e-03       3.730131380410e+03 
       1.297256800226e-03       3.969937906364e+03 
       1.384025963851e-03       4.219030337028e+03 
       1.474517474741e-03       4.476626215189e+03 
       1.568529297656e-03       4.741870955945e+03 
       1.665841150603e-03       5.013868586063e+03 
       1.766222876780e-03       5.291709811340e+03 
       1.869441801760e-03       5.574495864733e+03 
       1.975268767928e-03       5.861357618623e+03 
       2.083482750857e-03       6.151469790404e+03 
       2.193874122469e-03       6.444060181481e+03 
       2.306246726032e-03       6.738415862166e+03 
       2.420418975270e-03       7.033884972203e+03 
       2.536224197618e-03       7.329876604197e+03 
       2.653510424499e-03       7.625859342132e+03 
       2.772139801526e-03       7.921357457395e+03 
       2.891987757588e-03       8.215947436638e+03 
       3.012942039067e-03       8.509253916459e+03 
       3.134901686954e-03       8.800945117406e+03 
       3.257776011224e-03       9.090728889337e+03 
       3.381483598571e-03       9.378349130750e+03 
       3.505951375910e-03       9.663580826023e+03 
       3.631113742088e-03       9.946227057696e+03 
       3.756911773292e-03       1.022611636414e+04 
       3.883292502928e-03       1.050309965223e+04 
       4.010208273703e-03       1.077704747520e+04 
       4.137616157819e-03       1.104784842107e+04 
       4.265477440174e-03       1.131540641606e+04 
       4.393757159050e-03       1.157963999880e+04 
       4.522423698707e-03       1.184048034081e+04 
       4.651448428492e-03       1.209786890874e+04 
       4.780805383386e-03       1.235175851310e+04 
       4.910470981336e-03       1.260211079860e+04 
       5.040423773104e-03       1.284888746592e+04 
       5.170644220831e-03       1.309207210863e+04 
       5.301114501905e-03       1.333163184132e+04 
       5.431818335107e-03       1.356759311658e+04 
       5.562740826369e-03       1.379994066279e+04 
       5.693868331786e-03       1.402864746707e+04 
       5.825188335822e-03       1.425372646944e+04 
       5.956689342886e-03       1.447518353059e+04 
       6.088360780700e-03       1.469295999373e+04 
       6.220192914054e-03       1.490714270302e+04 
       6.352176767738e-03       1.511773785605e+04 
       6.484304057581e-03       1.532474557797e+04 
       6.616567128649e-03       1.552821245889e+04 
       6.748958899802e-03       1.572816289831e+04 
       6.881472813875e-03       1.592446202474e+04 
       7.014102792846e-03       1.611727239549e+04 
       7.146843197461e-03       1.630668178663e+04 
       7.279688790799e-03       1.649269234526e+04 
       7.412634705360e-03       1.667521362845e+04 
       7.545676413299e-03       1.685436908284e+04 
       7.678809699468e-03       1.703017779479e+04 
       7.812030636964e-03       1.720246650621e+04 
       7.945335564940e-03       1.737159666206e+04 
       8.078721068419e-03       1.753735399736e+04 
       8.212183959936e-03       1.769980671928e+04 
       8.345721262803e-03       1.785947551702e+04 
       8.479330195843e-03       1.801553683843e+04 
       8.613008159453e-03       1.816844572221e+04 
       8.746752722859e-03       1.831819950337e+04 
       8.880561612452e-03       1.846482375029e+04 
       9.014432701106e-03       1.860832822060e+04 
       9.148363998373e-03       1.874879095678e+04 
       9.282353641498e-03       1.888624194821e+04 
       9.416399887146e-03       1.902059890292e+04 
       9.550501103809e-03       1.915207286477e+04 
       9.684655764808e-03       1.928056325200e+04 
       9.818862441848e-03       1.940615940557e+04 
       9.953119799080e-03       1.952886707462e+04 
       1.008742658762e-02       1.964872683383e+04 
       1.022178164047e-02       1.976578169708e+04 
       1.035618386789e-02       1.988001002535e+04 
       1.049063225300e-02       1.999147297021e+04 
       1.062512584784e-02       2.010021824323e+04 
       1.075966376963e-02       2.020625476837e+04 
       1.089424519738e-02       2.030959313224e+04 
       1.102886936864e-02       2.041031799083e+04 
       1.116353557661e-02       2.050838074496e+04 
       1.129824316739e-02       2.060388091148e+04 
       1.143299153743e-02       2.069680457008e+04 
       1.156778013117e-02       2.078723799525e+04 
       1.170260843887e-02       2.087512210727e+04 
       1.183747599456e-02       2.096048692996e+04 
       1.197238237415e-02       2.104344045954e+04 
       1.210732719368e-02       2.112397381092e+04 
       1.224231010769e-02       2.120210035514e+04 
       1.237733080771e-02       2.127732256828e+04 
       1.251238902085e-02       2.135067991697e+04 
       1.264748450845e-02       2.142237844711e+04 
       1.278261706494e-02       2.149114794351e+04 
       1.291778651665e-02       2.155766529532e+04 
       1.305299272081e-02       2.162196195021e+04 
       1.318823556453e-02       2.168402219562e+04 
       1.332351496393e-02       2.174389409401e+04 
       1.345883086333e-02       2.180160352965e+04 
       1.359418323442e-02       2.185713529776e+04 
       1.372957207561e-02       2.190999769180e+04 
       1.386499741133e-02       2.196201444626e+04 
       1.400045929146e-02       2.201130054475e+04 
       1.413595779073e-02       2.205793797307e+04 
       1.427149300829e-02       2.210391247505e+04 
       1.440706506714e-02       2.214701768886e+04 
       1.454267411380e-02       2.218834527759e+04 
       1.467832031789e-02       2.222770123472e+04 
       1.481400387175e-02       2.226513780365e+04 
       1.494972499019e-02       2.229994209138e+04 
       1.508548391018e-02       2.233358214020e+04 
       1.522128089060e-02       2.236540347959e+04 
       1.535711621204e-02       2.239534576752e+04 
       1.549299017660e-02       2.242422796087e+04 
       1.562890310776e-02       2.245060451229e+04 
       1.576485535020e-02       2.247519876459e+04 
       1.590084726973e-02       2.249794968753e+04 
       1.603687925323e-02       2.251841676656e+04 
       1.617295170855e-02       2.253782454262e+04 
       1.630906506448e-02       2.255561940546e+04 
       1.644521977078e-02       2.257172749528e+04 
       1.658141629814e-02       2.258615439942e+04 
       1.671765513826e-02       2.259897609493e+04 
       1.685393680387e-02       2.261026298584e+04 
       1.699026182881e-02       2.261991864532e+04 
       1.712663076811e-02       2.262805679715e+04 
       1.726304419814e-02       2.263458293800e+04 
       1.739950271669e-02       2.263969081666e+04 
       1.753600694315e-02       2.264329353014e+04 
       1.767255751866e-02       2.264541767810e+04 
       1.780915510632e-02       2.264612472010e+04 
       1.794580039134e-02       2.264608937623e+04 
       1.808249408132e-02       2.264366999515e+04 
       1.821923690642e-02       2.264004767624e+04 
       1.835602961968e-02       2.263504028457e+04 
       1.849287299724e-02       2.262906315012e+04 
       1.862976783865e-02       2.262142364066e+04 
       1.876671496715e-02       2.261250480906e+04 
       1.890371523003e-02       2.260221850758e+04 
       1.904076949893e-02       2.259067360590e+04 
       1.917787867022e-02       2.257787060937e+04 
       1.931504366534e-02       2.256381308029e+04 
       1.945226543123e-02       2.254854622198e+04 
       1.958954494070e-02       2.253204710006e+04 
       1.972688319286e-02       2.251436584019e+04 
       1.986428121359e-02       2.249555729184e+04 
       2.000174005595e-02       2.247550977008e+04 
       2.013926080071e-02       2.245437361006e+04 
       2.027684455679e-02       2.243206373659e+04 
       2.041449246181e-02       2.240870012972e+04 
       2.055220568261e-02       2.238419662161e+04 
       2.068998541582e-02       2.235862767376e+04 
       2.082783288838e-02       2.233203424802e+04 
       2.096574935820e-02       2.230439448278e+04 
       2.110373611472e-02       2.227570114800e+04 
       2.124179447954e-02       2.224600846385e+04 
       2.137992580712e-02       2.221530403704e+04 
       2.151813148541e-02       2.218371678254e+04 
       2.165641293655e-02       2.215105068132e+04 
       2.179477161761e-02       2.211750132953e+04 
       2.193320902132e-02       2.208298077277e+04 
       2.207172667683e-02       2.204758829205e+04 
       2.221032615052e-02       2.201129390833e+04 
       2.234900904679e-02       2.197409747751e+04 
       2.248777700891e-02       2.193603623928e+04 
       2.262663171991e-02       2.189711709070e+04 
       2.276557490344e-02       2.185739209525e+04 
       2.290460832470e-02       2.181675122288e+04 
       2.304373379141e-02       2.177538149198e+04 
       2.318295315477e-02       2.173319060385e+04 
       2.332226831050e-02       2.169014092648e+04 
       2.346168119984e-02       2.164641599705e+04 
       2.360119381065e-02       2.160191793606e+04 
       2.374080817852e-02       2.155664371230e+04 
       2.388052638791e-02       2.151067355196e+04 
       2.402035057333e-02       2.146396920993e+04 
       2.416028292053e-02       2.141658520753e+04 
       2.430032566779e-02       2.136851444592e+04 
       2.444048110720e-02       2.131974649942e+04 
       2.458075158598e-02       2.127030100233e+04 
       2.472113950785e-02       2.122016122721e+04 
       2.486164733449e-02       2.116945668049e+04 
       2.500227758694e-02       2.111806116792e+04 
       2.514303284717e-02       2.106617248428e+04 
       2.528391575958e-02       2.101364615480e+04 
       2.542492903264e-02       2.096040801685e+04 
       2.556607544057e-02       2.090672318136e+04 
       2.570735782500e-02       2.085239165229e+04 
       2.584877909675e-02       2.079758351829e+04 
       2.599034223768e-02       2.074207901914e+04 
       2.613205030257e-02       2.068615797596e+04 
       2.627390642102e-02       2.062970752405e+04 
       2.641591379954e-02       2.057281926824e+04 
       2.655807572353e-02       2.051540531002e+04 
       2.670039555952e-02       2.045739195094e+04 
       2.684287675732e-02       2.039893917930e+04 
       2.698552285233e-02       2.034005102600e+04 
       2.712833746793e-02       2.028071743322e+04 
