# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382223923624e-10       4.179594265541e-15       3.519372182342e-13       2.324046372793e-19       8.283456289599e-09       4.560258604906e-10      -1.842278457786e-12 
    3       1.306774501067e-10       5.354775084345e-15       3.955071351267e-13       4.648971009930e-19       5.087564789690e-09       3.225351228209e-10      -1.394818436789e-12 
    4       1.235951797259e-10       4.629581735307e-15       3.698021081547e-13       7.750222195005e-19       3.523428794889e-09       2.438133924343e-10      -9.127158316330e-13 
    5       1.182979325551e-10       3.087196799274e-15       3.148735913976e-13       1.162893086293e-18       2.621789023837e-09       1.923691799156e-10      -5.069476883207e-13 
    6       1.146660922266e-10       1.726139568276e-15       2.535629289175e-13       1.628647692573e-18       2.042744572373e-09       1.563745175474e-10      -2.081091879973e-13 
    7       1.122997351057e-10       9.337108045684e-16       1.990683729401e-13       2.172446797385e-18       1.644411873366e-09       1.299781567779e-10      -1.764965382118e-14 
    8       1.109182546382e-10       6.038956716926e-16       1.571587781164e-13       2.794471487842e-18       1.356595696706e-09       1.099771515456e-10       7.941240142983e-14 
    9       1.102733665664e-10       4.859240420041e-16       1.291080972985e-13       3.494920487216e-18       1.140650068017e-09       9.447336366200e-11       1.064370832725e-13 
   10       1.101344081850e-10       4.150255397755e-16       1.135879751347e-13       4.274007273886e-18       9.737527712498e-10       8.219939921811e-11       8.927893793137e-14 
   11       1.104422798492e-10       3.497799703608e-16       1.079364830504e-13       5.131957077622e-18       8.336128646284e-10       7.301393319583e-11       5.203125484695e-14 
   12       1.110455209717e-10       3.058306838847e-16       1.090962974862e-13       6.069003821256e-18       7.285559193034e-10       6.456132909018e-11       1.227602193590e-14 
   13       1.118936626039e-10       2.941758290977e-16       1.143826916668e-13       7.085387075543e-18       6.422893835883e-10       5.769582122033e-11      -1.798980178515e-14 
   14       1.129388431996e-10       3.068479315826e-16       1.217751829652e-13       8.181349092832e-18       5.704998765939e-10       5.171608902766e-11      -3.451225197454e-14 
   15       1.141681937732e-10       3.321041603690e-16       1.299848447569e-13       9.357131981238e-18       5.100629783861e-10       4.668613694012e-11      -3.750069242981e-14 
   16       1.155069335971e-10       3.674213079192e-16       1.383484094945e-13       1.061297507542e-17       4.586668585688e-10       4.235083295151e-11      -3.091273114784e-14 
